year,NAIC_no,DD_L,DC_L,Value_L,D_L,C_L,Reserve_L,ResVar_L
2001,82694,3.4744841284100336e8,7440.7488075191295,2.1222356446194474e7,16.371811194571972,0.00035060898286124966,2.9568503e7,456283.0
2001,67059,3.4660829796637464e8,11982.855805988438,2.9432091624847464e7,11.77654318233222,0.0004071357197010133,2.7986915e7,4.9765368e7
2001,68381,9.277019014608809e9,32938.57613724931,9.231024388254255e8,10.049826134587054,3.5682471144980426e-5,9.08748062e8,8.4112996e7
2001,76848,4.834337335965908e6,5978.916553253792,288379.9546055323,16.763777297137995,0.02073277444485419,409530.0,1.408396e6
2001,63622,4.184762424395612e10,33683.11488687991,3.613783114369187e9,11.580004366493627,9.320735036075775e-6,3.961766159e9,1.20124109e8
2001,61883,1.5067641150673778e9,24257.2300627218,9.907572399095522e7,15.20820695900171,0.0002448352541429451,1.24277257e8,6.866956e6
2001,69434,2.222955372100069e9,13764.282042759254,2.322905134448164e8,9.56972086003056,5.9254602517502876e-5,2.24590021e8,6.7246329e7
2001,69485,7.21148621060188e8,20606.7633593388,3.8386983020139895e7,18.7862802523927,0.000536816434584801,5.1800757e7,3.5582819e7
2001,67539,1.8279440317658802e10,39769.32003482981,6.862586113600134e8,26.63637295775856,5.795092313088179e-5,9.81190134e8,1.0279228e8
2001,99937,1.5218730612300375e10,9623.342381742119,8.580557645201218e8,17.736295520153792,1.121528783985746e-5,1.151318442e9,4.67600025e8
2001,65919,4.408702796318604e10,7651.184512487663,2.0702106957729602e9,21.295913528610743,3.6958482187876628e-6,2.398006116e9,3.53612057e8
2001,61999,1.1981392445544596e10,73412.61691506943,1.1222568875408075e9,10.676158532472298,6.541516272262575e-5,1.23269626e9,4.2790589e7
2001,71463,2.1231439496005297e9,46168.92711816123,1.1195260106025448e8,18.964668346185395,0.00041239709199174793,1.52367091e8,7.297279e6
2001,68179,1.579174093386077e8,19909.611923275068,8.996820559662323e6,17.552579635370076,0.0022129608778173,1.1976724e7,249775.0
2001,73121,3.253160191555262e8,15433.90702816418,2.0107104123325866e7,16.179158229858338,0.0007675847766789849,2.5038394e7,4.205672e6
2001,61093,1.1803518653007767e9,23022.95119019155,9.29182472603781e7,12.703122369421818,0.00024777642571836286,1.26227429e8,2.4033e6
2001,81647,5.4419304256731704e7,3974.728138113669,2.825111302561528e6,19.262711599146456,0.001406927979973668,3.157893e6,370116.0
2001,66583,3.6095724225656724e9,12339.617976881733,2.1315885363425237e8,16.933720373441023,5.788930540063144e-5,2.69958753e8,3.09918014e8
2001,60836,1.4625897191894238e9,10783.335196012213,7.755588797004192e7,18.85852586401163,0.00013903954268665677,1.03338202e8,2.002176e6
2001,66397,4.506344559507809e9,17672.288540093854,2.690343834753627e8,16.75006927105466,6.568784373136538e-5,3.56464086e8,7.272916e6
2001,65765,1.1545604638114203e11,70635.5668400809,5.752482137962344e9,20.070648393536622,1.227914579237643e-5,7.108982974e9,2.9024366e8
2001,70874,1.7679615401773968e10,34107.54501630413,1.5968149869801097e9,11.071799517118503,2.1359735031550643e-5,1.38052775e9,7.40756043e8
2001,66281,8.168290714814244e10,132134.8890809493,6.077728557455974e9,13.439709650727378,2.1740834233021186e-5,6.647050269e9,5.015115301e9
2001,94331,3.3091947583709025e9,6411.516974324746,1.6755617879857814e8,19.749762629457766,3.8264879399237964e-5,2.02999533e8,1.1807901e7
2001,69175,1.5653869036979368e8,19097.998784011685,6.388698983709571e6,24.502436375379226,0.0029893408396152845,9.198483e6,2.283134e6
2001,94099,1.308041922068768e10,10847.911428693964,8.465694102062234e8,15.451088904217912,1.2813965751551813e-5,9.2226521e8,2.7224607e7
2001,60690,8.785351405735114e10,33375.80481675796,4.777771110509069e9,18.387970462651648,6.985643314587706e-6,5.394131692e9,3.329417624e9
2001,70602,6.672007925245684e9,38421.192790729416,5.197194967905195e8,12.837709507624906,7.392678748439495e-5,5.8979412e8,2.5608129e7
2001,66672,7.741599225937209e10,98841.0784640434,5.490830904674389e9,14.099139748315181,1.8001114982415356e-5,6.884423631e9,4.87353483e8
2001,91391,2.0859835496745514e10,52656.61730721006,1.3040714779520154e9,15.995929555567715,4.0378628163775856e-5,1.540150282e9,3.42499474e8
2001,65536,4.717778877854882e10,56384.63622028799,3.342311363887778e9,14.115318305853947,1.6869953179556966e-5,3.574838472e9,7.442427757e9
2001,93769,5.35284215226811e9,19328.626524585135,2.5507480073440582e8,20.985382079516768,7.577630745543885e-5,3.00900256e8,5.792205e6
2001,65676,3.4947855507093915e11,120300.34532535997,2.7408632178037537e10,12.750674780151028,4.389140783966458e-6,2.7331558277e10,3.402202779e9
2001,90328,3.8778873954296e8,22343.265096559542,2.0952355261550166e7,18.50812162652636,0.0010663844144320064,2.5583378e7,578151.0
2001,67199,3.9785890228175316e9,23970.18810379715,1.9108470663867804e8,20.821075076095145,0.00012544273440533556,2.23421673e8,4.286448e6
2001,67598,7.164902954870095e9,26507.059063682256,5.028063337435428e8,14.249826372562296,5.2718228241735366e-5,4.71978694e8,2.8200669e7
2001,84786,2.6095008612651306e8,4366.209920831933,1.2627090778921766e7,20.665891351800017,0.00034578114605150295,1.7484335e7,5.9205282e7
2001,65838,1.873723413640779e11,70591.33737088017,1.1675353598769407e10,16.04853675556577,6.046184106862559e-6,1.2159820175e10,2.49132427e9
2001,70211,3.9034660706726395e10,32236.5226338951,2.3253411145783877e9,16.78663851165933,1.3863137082036228e-5,2.600168354e9,4.9788894e7
